Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
varta ag;2019;20;5;10;1;0;fehlt;2020-05-13;2020-05-13;23;259;2415;0;23;251;2415;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\VARTA AG2019_SR.pdf
voltabox ag;2019;55;29;16;1;1;fehlt;2020-02-25;fehlt;19;5659;5685;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\VOLTABOX AG2019_NFB.pdf
baywa;2014;167;152;106;1;0;DE0005194062;2015-05-04;fehlt;58;2630;21228;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\BayWa2014_SR.pdf
baywa;2015;88;103;64;1;0;DE0005194062;2016-06-09;fehlt;63;2466;16497;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\BayWa2015_SR.pdf
baywa;2016;112;99;80;1;0;DE0005194062;2017-05-22;fehlt;61;3782;17422;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\BayWa2016_SR.pdf
baywa;2017;164;152;118;1;0;DE0005194062;2018-04-05;fehlt;91;4938;23671;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\BayWa2017_SR.pdf
deutz ag;2017;82;36;31;1;1;DE0006305006;2018-03-13;fehlt;14;752;7116;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Deutz AG2017_NFE.pdf
deutz ag;2018;89;43;36;1;1;DE0006305006;2019-03-13;fehlt;16;1693;10021;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Deutz AG2018_NFE.pdf
dr hönle;2018;37;45;22;1;1;DE0005157101;2019-01-31;fehlt;15;702;3633;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Dr Hönle2018_NFE.pdf
dr hönle;2019;36;48;25;1;1;DE0005157101;2020-01-31;fehlt;17;876;3876;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Dr Hönle2019_NFB.pdf
