Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
deutsche wohnen;2015;191;204;134;1;0;DE0006455009;2016-06-17;2016-03-08;68;3101;27711;1;68;12118;84111;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2015_SR.pdf
deutsche wohnen;2016;216;181;135;1;0;DE0006455009;2017-06-27;2017-03-07;86;3767;29938;1;86;10601;79135;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2016_SR.pdf
deutsche wohnen;2017;249;172;125;1;0;DE0006455009;2018-05-30;2018-03-06;92;3508;29219;1;92;11013;77927;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2017_SR.pdf
deutsche wohnen;2018;338;244;155;1;0;DE0006455009;2019-06-04;2019-03-15;133;4590;41019;1;133;11463;80727;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2018_SR.pdf
dic asset;2011;242;87;66;1;0;DE0005493654;2012-12-21;2012-03-19;62;4214;22403;1;62;14510;121303;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2011_SR.pdf
dic asset;2013;236;90;66;1;0;DE0005493654;2014-07-02;2014-03-25;70;2661;22210;1;70;15377;120606;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2013_SR.pdf
dic asset;2014;150;76;62;1;0;DE0005493654;2015-12-21;2015-03-25;55;2849;18167;1;55;19167;110583;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2014_SR.pdf
dic asset;2016;114;87;81;1;0;DE0005493654;2020-04-06;2017-03-16;61;5716;16235;1;61;17663;96803;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2016_SR.pdf
dic asset;2017;117;95;65;1;0;DE0005493654;2020-04-06;2018-03-21;64;5920;17295;1;64;20076;119370;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2017_SR.pdf
dic asset;2018;135;97;62;1;0;DE0005493654;2020-04-06;2019-03-21;70;6055;18504;1;70;16177;138925;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\DIC Asset2018_SR.pdf
dr hönle;2018;37;45;22;0;1;DE0005157101;2019-01-31;2020-01-27;15;702;3633;1;15;6920;55210;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Dr Hönle2018_NFE.pdf
dr hönle;2019;36;48;25;0;1;DE0005157101;2020-01-31;2021-03-02;17;876;3876;0;17;10365;71065;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Dr Hönle2019_NFE.pdf
eckert & ziegler strahlen- und medizintechnik;2017;55;43;27;1;0;DE0005659700;2018-04-16;2018-05-02;20;496;6211;0;20;7923;53460;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Eckert & Ziegler Strahlen- und Medizintechnik2017_SR.pdf
eckert & ziegler strahlen- und medizintechnik;2018;54;41;24;1;0;DE0005659700;2019-03-19;2019-04-30;22;490;6145;0;22;7282;52352;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Eckert & Ziegler Strahlen- und Medizintechnik2018_SR.pdf
einhell germany;2017;76;74;84;1;0;DE0005654933;2018-06-21;2018-04-19;59;1585;10687;0;59;7617;37198;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Einhell Germany2017_SR.pdf
einhell germany;2018;93;73;88;1;0;DE0005654933;2019-03-28;2019-04-16;64;1486;11032;0;64;8099;39953;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Einhell Germany2018_SR.pdf
francotyp-postalia;2017;199;119;102;1;0;DE000FPH9000;2018-05-07;2018-04-13;43;1685;18587;1;43;8499;60956;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Francotyp-Postalia2017_SR.pdf
francotyp-postalia;2018;347;166;161;1;0;DE000FPH9000;2019-03-27;2019-04-09;45;3069;32264;1;45;9829;70180;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Francotyp-Postalia2018_SR.pdf
gea;2015;63;34;23;1;0;DE0006602006;2016-03-09;2016-03-09;15;810;4859;0;15;728;4859;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GEA2015_SR.pdf
gea;2016;67;55;28;1;0;DE0006602006;2017-03-09;2017-03-09;21;1233;6804;1;21;1130;6804;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GEA2016_SR.pdf
gea;2017;86;65;40;1;0;DE0006602006;2018-03-09;2018-03-09;26;1603;8816;1;26;1488;8816;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GEA2017_SR.pdf
gea;2018;105;112;55;1;0;DE0006602006;2019-03-13;2019-03-13;30;1876;11707;1;30;1778;11707;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GEA2018_SR.pdf
gesco;2018;34;36;27;1;0;DE000A1K0201;2018-07-05;2019-07-04;14;332;4149;1;14;13141;46851;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Gesco2018_SR.pdf
gksoftware;2017;28;26;12;1;0;fehlt;2018-04-23;2018-04-23;25;584;3498;1;25;580;3498;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GkSoftware2017_SR.pdf
gksoftware;2018;36;30;18;1;0;fehlt;2019-05-16;2019-05-16;27;681;4113;0;27;677;4113;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\GkSoftware2018_SR.pdf
grammer;2017;68;55;33;1;0;DE0005895403;2019-11-25;2018-03-20;15;1913;7229;1;15;10066;69290;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Grammer2017_SR.pdf
grammer;2018;68;45;30;1;0;DE0005895403;2019-03-15;2018-03-20;17;816;7248;1;17;10066;69290;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Grammer2018_SR.pdf
grenke;2018;46;24;23;1;0;fehlt;2019-05-21;2018-02-02;14;842;7461;0;14;2018;12560;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Grenke2018_SR.pdf
hamborner;2017;89;40;35;1;0;fehlt;2017-11-22;2018-03-20;43;2398;11410;1;43;3321;8387;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hamborner2017_SR.pdf
hamborner;2018;131;45;33;1;0;fehlt;2019-01-08;2009-03-23;49;2592;14126;1;49;1799;6178;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hamborner2018_SR.pdf
hanse_yachts;2018;31;46;12;1;0;fehlt;2018-10-09;2018-11-09;14;2127;3366;1;14;8434;32112;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hanse_Yachts2018_SR.pdf
hawesko;2017;42;33;16;1;0;DE0006042708;2018-04-30;2018-05-04;22;673;4934;0;22;4246;27117;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hawesko2017_SR.pdf
hawesko;2018;54;55;24;1;0;DE0006042708;2019-05-16;2019-04-30;15;820;6721;0;15;1993;7632;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hawesko2018_SR.pdf
hornbachholding;2018;37;35;18;1;0;fehlt;2018-05-16;2015-06-08;14;919;4500;0;14;12628;53610;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\HornbachHolding2018_SR.pdf
hypoport;2017;2;10;3;1;0;fehlt;2018-04-27;2018-03-26;11;217;775;0;11;6039;47359;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hypoport2017_SR.pdf
hypoport;2018;3;5;5;1;0;fehlt;2019-03-25;2016-03-26;12;214;833;0;12;5058;33576;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Hypoport2018_SR.pdf
indus;2018;76;66;37;1;0;DE0005855183;2019-03-26;2019-03-13;28;1321;10163;0;28;10635;83046;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Indus2018_SR.pdf
init;2017;33;36;14;1;0;DE0005759807;2018-03-20;2018-05-14;12;350;3370;0;12;5973;26732;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Init2017_SR.pdf
init;2018;22;21;12;1;0;DE0005759807;2019-03-21;2011-03-23;10;444;2948;0;10;1926;8667;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Init2018_SR.pdf
ivu;2018;63;63;44;1;0;DE0007448508;2019-03-27;2019-03-28;39;1801;7809;1;39;1421;9170;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\IVU2018_SR.pdf
jenoptik-;2012;17;19;1;1;0;fehlt;2012-09-03;fehlt;36;2245;11320;0;fehlt;fehlt;fehlt;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\jenoptik-2012.pdf
k+s.;2014;13;44;18;1;0;fehlt;2015-03-11;fehlt;61;2338;21650;1;fehlt;fehlt;fehlt;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\k+s.2014.pdf
kap;2017;22;36;22;1;0;fehlt;2018-05-02;2018-07-13;12;715;3802;0;12;11148;51836;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\KAP2017_SR.pdf
kap;2018;30;53;27;1;0;fehlt;2019-04-18;2018-07-13;15;410;4259;0;15;11148;51836;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\KAP2018_SR.pdf
kiongroup_nb16.pdf;2021;273;202;128;1;0;fehlt;2019-02-08;fehlt;97;6103;28873;1;fehlt;fehlt;fehlt;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\kiongroup_nb16.pdf
kiongroup_nb17.pdf;2021;236;239;117;1;0;fehlt;2019-04-15;fehlt;86;6091;28635;1;fehlt;fehlt;fehlt;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\kiongroup_nb17.pdf
kiongroup_nb18.pdf;2021;209;205;110;1;0;fehlt;2019-07-17;fehlt;75;5233;25279;1;fehlt;fehlt;fehlt;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\kiongroup_nb18.pdf
kuka nachhaltigkeitsbericht;2017;147;100;90;1;0;DE0006204407;2018-04-27;2018-03-20;70;1568;16640;1;70;9653;80978;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\KUKA Nachhaltigkeitsbericht 2017.pdf
kuka nachhaltigkeitsbericht;2018;169;116;115;1;0;DE0006204407;2019-04-25;2018-03-20;73;1695;18231;1;73;9653;80978;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\KUKA Nachhaltigkeitsbericht 2018.pdf
